time,t_rel,target_pos
1784993388.5171156,4.406000016388134e-06,0.0
1784993388.5217247,0.00513066199999912,0.0
1784993388.5265605,0.010112210999977833,0.0
1784993388.5311494,0.015086761000020488,0.0
1784993388.5361876,0.020128924999994524,0.0
1784993388.5412624,0.02509690300001921,0.0
1784993388.5462782,0.030112184000017805,0.0
1784993388.5521219,0.03509467700001778,0.0
1784993388.5563142,0.040117475999977614,0.0
1784993388.5612895,0.0450967649999825,0.0
1784993388.5663238,0.050113157999987834,0.0
1784993388.5713968,0.055099502000018674,0.0
1784993388.5762975,0.06012072599997964,0.0
1784993388.5813124,0.06509512799999584,0.0
1784993388.586464,0.070114612999987,0.0
1784993388.5919764,0.07509495800002242,0.0
1784993388.5967011,0.08015767299997378,0.0
1784993388.6012444,0.0850939540000013,0.0
1784993388.606239,0.09011223499999232,0.0
1784993388.611218,0.09509450500002004,0.0
1784993388.6164122,0.10014296499997499,0.0
1784993388.6212466,0.10508911400000898,0.0
1784993388.6261559,0.11009534200002236,0.0
1784993388.6312807,0.11509757099997842,0.0
1784993388.6376855,0.12010542799998802,0.0
1784993388.6412675,0.12509564099997306,0.0
1784993388.646485,0.1300956489999976,0.0
1784993388.6511972,0.1350879170000212,0.0
1784993388.6561046,0.1400849620000031,0.0
1784993388.6622136,0.14509952200000953,0.0
1784993388.6664717,0.15009860300000355,0.0
1784993388.6712556,0.1550921300000141,0.0
1784993388.6762102,0.16008871299999328,0.0
1784993388.6812758,0.1650948849999736,0.0
1784993388.686336,0.17009498499999154,0.0
1784993388.6912656,0.17509647299999642,0.0
1784993388.6968532,0.18009316699999545,0.0
1784993388.7020268,0.18509334099996977,0.0
1784993388.706347,0.1900971800000093,0.0
1784993388.7111824,0.1950879670000063,0.0
1784993388.7163165,0.2000872709999726,0.0
1784993388.72133,0.20509636899998895,0.0
1784993388.7263522,0.2100942659999987,0.0
1784993388.7320328,0.21509595800000625,0.0
1784993388.7362792,0.22009487299999364,0.0
1784993388.7413154,0.22508917800001882,0.0
1784993388.746318,0.23009323899998435,0.0
1784993388.7511992,0.23509100699999408,0.0
1784993388.7562783,0.2400911249999922,0.0
1784993388.7613566,0.24509752000000162,0.0
1784993388.767523,0.25009987800001454,0.0
1784993388.771297,0.2550957199999857,0.0
1784993388.776278,0.2600942089999876,0.0
1784993388.7811463,0.2650881810000101,0.0
1784993388.7861354,0.2700893360000123,0.0
1784993388.7911882,0.2750894170000038,0.0
1784993388.796313,0.2800917569999797,0.0
1784993388.8013058,0.2850940229999992,0.0
1784993388.806202,0.2900911049999877,0.0
1784993388.8113637,0.295098591999988,0.0
1784993388.8165274,0.3000995990000206,0.0
1784993388.8213658,0.30509469999998373,0.0
1784993388.826859,0.3100937080000108,0.0
1784993388.8312771,0.31509353000001283,0.0
1784993388.8363156,0.3200937780000004,0.0
1784993388.841269,0.3250942479999708,0.0
1784993388.8473432,0.3300968290000128,0.0
1784993388.8512864,0.3350879490000125,0.0
1784993388.8562012,0.3400902710000082,0.0
1784993388.8613687,0.3450989059999756,0.0
1784993388.8682013,0.3500995800000055,0.0
1784993388.8712096,0.35509279199999355,0.0
1784993388.8763168,0.3600879669999699,0.0
1784993388.8812935,0.3650939180000137,0.0
1784993388.8870428,0.3700944990000039,0.0
1784993388.8913896,0.3752509889999942,0.0
1784993388.8962214,0.3800908470000195,0.0
1784993388.9013138,0.38509322499999143,0.0
1784993388.906265,0.39009402800002135,0.0
1784993388.9113507,0.39509379499997976,0.0
1784993388.9171052,0.40009743100000605,0.0
1784993388.9212906,0.405093920000013,0.0
1784993388.9262137,0.41009805599998117,0.0
1784993388.9312766,0.4150959709999711,0.0
1784993388.9362595,0.42009605300000885,0.0
1784993388.9413614,0.4250968189999753,0.0
1784993388.9462318,0.43008593999996947,0.0
1784993388.9512682,0.4350952599999687,0.0
1784993388.9570422,0.4400948410000183,0.0
1784993388.9612806,0.445095718999994,0.0
1784993388.9664712,0.4500966329999869,0.0
1784993388.9713354,0.4550947149999729,0.0
1784993388.976237,0.460094722000008,0.0
1784993388.9820902,0.4650928969999768,0.0
1784993388.986258,0.4700942929999883,0.0
1784993388.9913008,0.4750942069999837,0.0
1784993388.9962673,0.48009713999999803,0.0
1784993389.0020027,0.4850947959999985,0.0
1784993389.0063508,0.49009511100001646,0.0
1784993389.0112646,0.4950995919999741,0.0
1784993389.0162354,0.5000947780000047,0.0
1784993389.0212545,0.5050930200000039,0.0
1784993389.0263667,0.5100975749999748,0.0
1784993389.032414,0.515106424999999,0.0
1784993389.0362525,0.5200939659999904,0.0
1784993389.0412652,0.5250942999999779,0.0
1784993389.0463474,0.5300936890000116,0.0
1784993389.0518572,0.5350973369999679,0.0
1784993389.0563521,0.5400934680000091,0.0
1784993389.0612614,0.5450968380000063,0.0
1784993389.0662606,0.550093913000012,0.0
1784993389.0713997,0.5550946170000088,0.0
1784993389.0764725,0.5600993389999758,0.0
1784993389.0830908,0.5651020610000046,0.0
1784993389.0862658,0.5700944710000044,0.0
1784993389.091303,0.5750934530000222,0.0
1784993389.0962033,0.5800916210000082,0.0
1784993389.1011894,0.5850910469999917,0.0
1784993389.1063492,0.5900936580000007,0.0
1784993389.1120782,0.5950965289999885,0.0
1784993389.1163728,0.600094103999993,0.0
1784993389.1212919,0.6051192649999848,0.0
1784993389.1262789,0.6100929749999864,0.0
1784993389.1313202,0.6151503890000072,0.0
1784993389.1362946,0.6200917169999798,0.0
1784993389.1413229,0.6251398740000127,0.0
1784993389.147282,0.6301018830000089,0.0
1784993389.1514013,0.6351572969999779,0.0
1784993389.1564205,0.6400954960000149,0.0
1784993389.1613398,0.6451176769999734,0.0
1784993389.1670403,0.6500943869999674,0.0
1784993389.1713269,0.6551482080000142,0.0
1784993389.176202,0.6600915729999883,0.0
1784993389.1813192,0.6651346749999902,0.0
1784993389.18619,0.6700898159999724,0.0
1784993389.1912189,0.6750959259999831,0.0
1784993389.1962583,0.6800956299999825,0.0
1784993389.201279,0.6851122009999813,0.0
1784993389.2069998,0.6900928169999929,0.0
1784993389.2113593,0.6951467310000226,0.0
1784993389.216216,0.7000931139999693,0.0
1784993389.2212663,0.705131716999972,0.0
1784993389.22614,0.7100884870000073,0.0
1784993389.2311654,0.7151249049999819,0.0
1784993389.2362869,0.7200917279999999,0.0
1784993389.2412896,0.7251095199999895,0.0
1784993389.2462175,0.7300917470000172,0.0
1784993389.251212,0.7350993569999673,0.0
1784993389.2571611,0.7400950809999927,0.0
1784993389.261374,0.7451547530000084,0.0
1784993389.266209,0.7500925269999925,0.0
1784993389.2712336,0.7551349619999996,0.0
1784993389.276281,0.7600953609999692,0.0
1784993389.2825184,0.7651138939999669,0.0
1784993389.2862527,0.7700945660000116,0.0
1784993389.2913063,0.7751459799999907,0.0
1784993389.2962065,0.7800934929999812,0.0
1784993389.301226,0.7851310400000102,0.0
1784993389.3063834,0.7900948820000053,0.0
1784993389.311375,0.7951170069999876,0.0
1784993389.3190222,0.800097605000019,0.0
1784993389.3213763,0.8051647199999934,0.0
1784993389.326204,0.8100927369999908,0.0
1784993389.3311725,0.8151077150000106,0.0
1784993389.336137,0.8200862580000035,0.0
1784993389.3411863,0.8251373759999865,0.0
1784993389.3464017,0.830104920999986,0.0
1784993389.351403,0.8351554099999703,0.0
1784993389.3562527,0.8400962949999666,0.0
1784993389.3614342,0.8451156240000159,0.0
1784993389.366274,0.8500959990000183,0.0
1784993389.372395,0.8551157360000161,0.0
1784993389.3762798,0.8600941859999693,0.0
1784993389.381332,0.8651528949999943,0.0
1784993389.386777,0.8700975749999884,0.0
1784993389.3913155,0.8751421769999865,0.0
1784993389.3962529,0.8800963169999818,0.0
1784993389.4012802,0.8851131289999898,0.0
1784993389.4064622,0.8900942820000068,0.0
1784993389.4114435,0.8951154439999982,0.0
1784993389.4173524,0.9000957079999807,0.0
1784993389.4213378,0.9051534739999738,0.0
1784993389.4262013,0.9100921180000228,0.0
1784993389.4313426,0.9151346269999863,0.0
1784993389.4361393,0.9200889339999776,0.0
1784993389.4412875,0.9251289439999937,0.0
1784993389.446361,0.9300968590000025,0.0
1784993389.4524744,0.9351164109999672,0.0
1784993389.4563074,0.9400933059999943,0.0
1784993389.461428,0.945149071000003,0.0
1784993389.4661999,0.9500920849999943,0.0
1784993389.471517,0.955133630999967,0.0
1784993389.4764097,0.9600992690000112,0.0
1784993389.481434,0.9651559609999936,0.0
1784993389.4862275,0.9700894019999851,0.0
1784993389.4911475,0.9750883840000029,0.0
1784993389.4962091,0.9800915509999868,0.0
1784993389.501288,0.9850909219999835,0.0
1784993389.5063949,0.9901003460000197,0.0
1784993389.512231,0.995102031999977,0.0
1784993389.5162985,1.000096014999997,0.0
1784993389.5212653,1.0050947189999988,0.0
1784993389.526382,1.0100945350000075,0.0
1784993389.5313032,1.0150996269999837,0.0
1784993389.53628,1.0200973500000146,0.0
1784993389.5412755,1.0250979799999982,0.0
1784993389.5462174,1.030093963000013,0.0
1784993389.5512784,1.0350930189999872,0.0
1784993389.556191,1.040090446000022,0.0
1784993389.5612838,1.0450922239999727,0.0
1784993389.566338,1.0501003520000154,0.0
1784993389.5713475,1.0550997969999685,0.0
1784993389.5762534,1.0600952059999713,0.0
1784993389.5812638,1.0650955219999787,0.0
1784993389.586263,1.0700941519999674,0.0
1784993389.591256,1.0750945599999682,0.0
1784993389.596381,1.0800940980000178,0.0
1784993389.6013079,1.0850976340000216,0.0
1784993389.6062806,1.0900964310000063,0.0
1784993389.611274,1.0950962279999885,0.0
1784993389.6162698,1.1000927669999783,0.0
1784993389.6216693,1.1050903419999827,0.0
1784993389.6261992,1.110091361000002,0.0
1784993389.631282,1.1150918419999698,0.0
1784993389.636193,1.1200907510000206,0.0
1784993389.6411853,1.125089306999996,0.0
1784993389.647467,1.1301027669999826,0.0
1784993389.6514235,1.13510039800002,0.0
1784993389.6561444,1.1400864199999887,0.0
1784993389.6611385,1.1450872169999684,0.0
1784993389.6663928,1.1500964009999848,0.0
1784993389.6727347,1.1550985860000083,0.0
1784993389.6762972,1.1600889590000065,0.0
1784993389.6812804,1.1650897559999862,0.0
1784993389.6862617,1.1700926809999714,0.0
1784993389.6913714,1.175093292999975,0.0
1784993389.6970227,1.180095107999989,0.0
1784993389.7012975,1.185096164000015,0.0
1784993389.7062702,1.190089869000019,0.0
1784993389.7112827,1.1950919249999856,0.0
1784993389.7162988,1.2000937029999932,0.0
1784993389.721271,1.2050964619999718,0.0
1784993389.7264597,1.2100967399999831,0.0
1784993389.732364,1.215093760000002,0.0
1784993389.7362783,1.2200894279999943,0.0
1784993389.7411885,1.2250901510000176,0.0
1784993389.7463508,1.2300983709999969,0.0
1784993389.7515228,1.235099611999999,0.0
1784993389.756361,1.2400948359999688,0.0
1784993389.761283,1.245095799000012,0.0
1784993389.7674096,1.25009587400001,0.0
1784993389.7712662,1.2550952450000068,0.0
1784993389.7761345,1.2600629009999693,0.0
1784993389.7812214,1.2650865809999914,0.0
1784993389.7862628,1.2700920620000034,0.0
1784993389.7913828,1.275093840000011,0.0
1784993389.7970347,1.2800952850000158,0.0
1784993389.8012779,1.2850957480000034,0.0
1784993389.806266,1.2900929529999985,0.0
1784993389.811277,1.2950902690000134,0.0
1784993389.816266,1.3000923980000039,0.0
1784993389.8213181,1.3051007120000122,0.0
1784993389.8262835,1.310098546000006,0.0
1784993389.8312843,1.3150973059999842,0.0
1784993389.8374996,1.3200986030000195,0.0
1784993389.8412144,1.3250911420000193,0.0
1784993389.8462803,1.330090623999979,0.0
1784993389.8512042,1.3350904399999877,0.0
1784993389.8586643,1.3400894220000055,0.0
1784993389.8613842,1.3450980690000165,0.0
1784993389.866332,1.3500972360000105,0.0
1784993389.87119,1.35508992299998,0.0
1784993389.8770204,1.3600898679999887,0.0
1784993389.8813467,1.3650957379999795,0.0
1784993389.886263,1.370094757000004,0.0
1784993389.8912702,1.3750902769999698,0.0
1784993389.896223,1.3800938140000198,0.0
1784993389.9021165,1.3850977949999788,0.0
1784993389.9062746,1.390096055000015,0.0
1784993389.9112988,1.3950901679999674,0.0
1784993389.916281,1.400091261,0.0
1784993389.9212403,1.4050901140000178,0.0
1784993389.9262056,1.4100901140000133,0.0
1784993389.9314873,1.4150995200000125,0.0
1784993389.9364672,1.420100371999979,0.0
1784993389.9416816,1.4250915779999787,0.0
1784993389.9462461,1.4300940599999876,0.0
1784993389.9513068,1.4350923939999802,0.0
1784993389.9562798,1.4401126120000072,0.0
1784993389.9611847,1.445088525000017,0.0
1784993389.9663222,1.450143364999974,0.0
1784993389.9713154,1.4550953579999941,0.0
1784993389.9773724,1.4601150579999853,0.0
1784993389.9812567,1.465093711999998,0.0
1784993389.986356,1.470147069999996,0.0
1784993389.9911938,1.4750918240000033,0.0
1784993389.9962666,1.480135314999984,0.0
1784993390.0012622,1.4850962869999762,0.0
1784993390.0062766,1.4901112769999827,0.0
1784993390.0120175,1.4950917940000181,0.0
1784993390.0164294,1.50014614600002,0.0
1784993390.0212219,1.5050907809999785,0.0
1784993390.02625,1.510133450000012,0.0
1784993390.0313752,1.5150953969999819,0.0
1784993390.0374308,1.5201048330000049,0.0
1784993390.0412714,1.5250964950000139,0.0
1784993390.0463943,1.5301495510000223,0.0
1784993390.051141,1.5350884100000144,0.0
1784993390.0562422,1.5400868479999872,0.0
1784993390.0612676,1.5450935249999702,0.0
1784993390.066263,1.55009448200002,0.0
1784993390.0725143,1.5550994739999737,0.0
1784993390.0764678,1.5601011900000117,0.0
1784993390.0811408,1.5650881120000122,0.0
1784993390.0861363,1.5700870869999903,0.0
1784993390.091257,1.5750943200000052,0.0
1784993390.0970504,1.5800949239999795,0.0
1784993390.1013415,1.5850953620000041,0.0
1784993390.1062484,1.5900946890000114,0.0
1784993390.111226,1.5950897949999785,0.0
1784993390.1162188,1.6000915110000165,0.0
1784993390.1223788,1.6050948369999674,0.0
1784993390.1263084,1.6100982180000187,0.0
1784993390.131213,1.6150935279999885,0.0
1784993390.1361995,1.620091780999985,0.0
1784993390.1411414,1.6250893490000067,0.0
1784993390.1462207,1.6300891019999995,0.0
1784993390.1512773,1.6350909469999806,0.0
1784993390.1561968,1.6400908850000064,0.0
1784993390.1625204,1.6450971919999802,0.0
1784993390.1664016,1.6501007769999774,0.0
1784993390.1712515,1.655086070999971,0.0
1784993390.1762545,1.660088915000017,0.0
1784993390.1812727,1.665094871000008,0.0
1784993390.18626,1.6700946049999743,0.0
1784993390.1915293,1.6750960429999964,0.0
1784993390.1977324,1.6801003869999818,0.0
1784993390.2011366,1.6850850139999807,0.0
1784993390.2062252,1.6900863959999697,0.0
1784993390.2112904,1.695094776000019,0.0
1784993390.2171047,1.700097991000007,0.0
1784993390.221209,1.7050886349999814,0.0
1784993390.2262042,1.7100905909999824,0.0
1784993390.2324643,1.7151001199999882,0.0
1784993390.236427,1.7201002240000207,0.0
1784993390.2411802,1.7250862029999894,0.0
1784993390.2502463,1.7300872889999823,0.0
1784993390.251662,1.7350937620000195,0.0
1784993390.2563326,1.7402224489999867,0.0
1784993390.261208,1.7450893799999676,0.0
1784993390.2666967,1.7500874290000183,0.0
1784993390.271203,1.7551381709999987,0.0
1784993390.2763472,1.7600943780000193,0.0
1784993390.2813873,1.7651177920000123,0.0
1784993390.2868457,1.7700965870000118,0.0
1784993390.2914047,1.7751493829999845,0.0
1784993390.2962115,1.7800921859999903,0.0
1784993390.3013647,1.7851382430000058,0.0
1784993390.3063629,1.7900972279999792,0.0
1784993390.3113155,1.7950925000000097,0.0
1784993390.3162913,1.8000957149999977,0.0
1784993390.3212721,1.8050945049999996,0.0
1784993390.3273447,1.8100942020000161,0.0
1784993390.3313468,1.815095269999972,0.0
1784993390.336191,1.820091949000016,0.0
1784993390.3411992,1.8250906839999743,0.0
1784993390.3474078,1.830095899000014,0.0
1784993390.3513489,1.8350959289999764,0.0
1784993390.3561974,1.8400909979999938,0.0
1784993390.361208,1.8450897139999825,0.0
1784993390.3662655,1.8500944659999732,0.0
1784993390.3714032,1.8550925889999803,0.0
1784993390.3763528,1.8600978779999764,0.0
1784993390.381261,1.865096001999973,0.0
1784993390.3862538,1.8700947730000053,0.0
1784993390.3913403,1.8750955809999823,0.0
1784993390.3962533,1.8800947230000133,0.0
1784993390.4012578,1.8850941609999836,0.0
1784993390.4062572,1.8900939139999764,0.0
1784993390.4113472,1.8950940930000115,0.0
1784993390.4163864,1.9000961599999755,0.0
1784993390.4212868,1.9050976350000042,0.0
1784993390.4262738,1.9100966099999823,0.0
1784993390.4312868,1.9150965669999778,0.0
1784993390.4373372,1.9200932460000217,0.0
1784993390.4411964,1.9250911479999786,0.0
1784993390.4461932,1.9300918629999728,0.0
1784993390.4511974,1.9350915790000158,0.0
1784993390.4561434,1.9400887959999977,0.0
1784993390.4612446,1.9450859930000206,0.0
1784993390.4662828,1.9500903929999822,0.0
1784993390.4711955,1.9550900539999816,0.0
1784993390.4763446,1.9600996930000179,0.0
1784993390.4813452,1.9650995939999802,0.0
1784993390.4865205,1.9700986070000113,0.0
1784993390.4914587,1.9751004330000228,0.0
1784993390.4962654,1.980095093999978,0.0
1784993390.5012867,1.9850952179999695,0.0
1784993390.5062497,1.9900945819999833,0.0
1784993390.5112975,1.995091742999989,0.0
1784993390.5175161,2.0000947539999743,0.0
1784993390.5212567,2.0050951179999856,0.0
1784993390.526186,2.0100911490000044,0.0
1784993390.5312822,2.0150896430000103,0.0
1784993390.5364742,2.020090062999998,0.0
1784993390.5412853,2.025094629000023,0.0
1784993390.5463672,2.0301038609999864,0.0
1784993390.55234,2.0351043360000176,0.0
1784993390.5562713,2.0400933319999695,0.0
1784993390.5611942,2.045088937999992,0.0
1784993390.5662074,2.0500908569999865,0.0
1784993390.571306,2.05509047999999,0.0
1784993390.5763588,2.060096638999994,0.0
1784993390.5822935,2.065096077000021,0.0
1784993390.5862713,2.0700959229999967,0.0
1784993390.5912647,2.0750964530000147,0.0
1784993390.5962603,2.080088912000008,0.0
1784993390.601225,2.0850891829999796,0.0
1784993390.606255,2.090094453000006,0.0
1784993390.611259,2.0950914289999787,0.0
1784993390.617502,2.100098994999996,0.0
1784993390.621359,2.105100542999992,0.0
1784993390.626249,2.1100857810000093,0.0
1784993390.6314065,2.115089662999992,0.0
1784993390.6362743,2.120094692000009,0.0
1784993390.6412644,2.125094056000023,0.0
1784993390.6465187,2.130102380999972,0.0
1784993390.6521907,2.1350988379999762,0.0
1784993390.6562672,2.1400885379999863,0.0
1784993390.6611857,2.1450883649999923,0.0
1784993390.6662633,2.150094041999978,0.0
1784993390.6713715,2.155094202999976,0.0
1784993390.6763377,2.160095936999994,0.0
1784993390.6820884,2.1650975960000096,0.0
1784993390.686269,2.170093424000015,0.0
1784993390.691311,2.1750941209999723,0.0
1784993390.6972013,2.1800965959999985,0.0
1784993390.701418,2.1850983669999664,0.0
1784993390.7062228,2.1900886029999924,0.0
1784993390.7112062,2.1950884859999746,0.0
1784993390.7164173,2.200093236999976,0.0
1784993390.7213516,2.205094286000019,0.0
1784993390.7270532,2.210097260999987,0.0
1784993390.7313259,2.215094792000002,0.0
1784993390.7361991,2.2200901570000156,0.0
1784993390.7412963,2.225091686999974,0.0
1784993390.746276,2.2300907919999986,0.0
1784993390.7512782,2.235092136999981,0.0
1784993390.7564058,2.240095648000022,0.0
1784993390.7613397,2.2450989000000163,0.0
1784993390.7664945,2.250098634999972,0.0
1784993390.772506,2.255096647000016,0.0
1784993390.776262,2.260093048999977,0.0
1784993390.7812316,2.265092136000021,0.0
1784993390.7862797,2.2700917959999742,0.0
1784993390.7912183,2.2750944179999806,0.0
1784993390.79646,2.2800917270000127,0.0
1784993390.801263,2.2850946279999675,0.0
1784993390.8075113,2.2900958060000107,0.0
1784993390.8112693,2.2950920409999753,0.0
1784993390.8163164,2.3000944599999684,0.0
1784993390.8212535,2.305095176000009,0.0
1784993390.8273685,2.310096946999977,0.0
1784993390.8313468,2.3150965890000066,0.0
1784993390.8362162,2.320094100999995,0.0
1784993390.8411813,2.3250892809999755,0.0
1784993390.8476632,2.3300930149999886,0.0
1784993390.8514423,2.335099728999978,0.0
