time,position,velocity,torque,temp_mosfet,temp_rotor,status
1785583349.3464024,-0.17338063630121248,-0.010989010989014503,-0.01318681318681314,34,31,ENABLE
1785583349.5653856,-0.0001907377737087046,-0.010989010989014503,-0.00439560439560438,34,31,ENABLE
1785583349.5795078,-0.0005722133211261138,-0.010989010989014503,-0.00439560439560438,34,31,ENABLE
1785583349.58429,-0.0005722133211261138,-0.010989010989014503,-0.00439560439560438,34,31,ENABLE
1785583349.5892622,-0.0005722133211261138,-0.0329670329670364,0.00439560439560438,34,31,ENABLE
1785583349.5936384,-0.000953688868543523,-0.010989010989014503,0.01318681318681314,34,31,ENABLE
1785583349.5986714,-0.0005722133211261138,-0.010989010989014503,0.0219780219780219,34,31,ENABLE
1785583349.6036804,-0.0005722133211261138,-0.010989010989014503,0.03956043956043942,34,31,ENABLE
1785583349.6087737,-0.0005722133211261138,-0.010989010989014503,0.03956043956043942,34,31,ENABLE
1785583349.613989,-0.0005722133211261138,-0.010989010989014503,0.04835164835164818,34,31,ENABLE
1785583349.618874,-0.0001907377737087046,0.010989010989014503,0.0659340659340657,34,31,ENABLE
1785583349.6236913,-0.0001907377737087046,0.010989010989014503,0.07472527472527446,34,31,ENABLE
1785583349.6286948,0.0001907377737087046,-0.010989010989014503,0.09230769230769198,34,31,ENABLE
1785583349.6337044,0.0001907377737087046,0.0329670329670364,0.09230769230769198,34,31,ENABLE
1785583349.6386642,0.0005722133211261138,0.010989010989014503,0.1098901098901095,34,31,ENABLE
1785583349.6437016,0.0005722133211261138,0.010989010989014503,0.12747252747252702,34,31,ENABLE
1785583349.648813,0.0005722133211261138,0.010989010989014503,0.13626373626373578,34,31,ENABLE
1785583349.6536891,0.0005722133211261138,-0.0329670329670364,0.16263736263736206,34,31,ENABLE
1785583349.6586614,0.0001907377737087046,-0.0549450549450583,0.20659340659340586,34,31,ENABLE
1785583349.6637826,0.0001907377737087046,-0.010989010989014503,0.23296703296703214,34,31,ENABLE
1785583349.6687906,0.0001907377737087046,-0.010989010989014503,0.25054945054944966,34,31,ENABLE
